t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.0315	0.5087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	1.8744	2.4340	0.0174	0.0186	0.3241	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	3.6575	3.6571	0.0130	0.0120	0.1391	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	2.3514	-2.6946	0.0060	0.0084	0.0239	0.0032	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-2.6241	4.1888	0.0048	0.0111	0.0706	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	3.6575	4.1888	0.0643	0.0727	0.2340	0.2284	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.2305	-0.0043	0.1438	0.2101	0.2622	0.4091	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-1.5239	-3.6523	0.2361	0.3799	0.3504	0.6554	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-1.0372	-3.1588	0.1750	0.3150	0.3488	0.2826	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-2.0676	-1.2102	0.2181	0.1201	0.3157	0.8248	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-3.6575	4.1888	0.0920	0.0880	0.3500	0.2686	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-1.0620	-1.1574	0.0735	0.1035	0.4036	0.1451	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.4793	-0.0412	0.1218	0.1279	0.5553	0.2176	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-3.6575	4.1888	0.1359	0.1384	0.6382	0.1618	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-3.6575	-4.1888	0.1305	0.1029	0.5959	0.1610	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	0.0130	0.0004	0.0968	0.0922	0.5425	0.1331	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.1489	0.0087	0.0664	0.0783	0.5018	0.0547	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.6357	0.3760	0.0540	0.0567	0.4008	0.1615	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-1.1114	1.3634	0.0283	0.0509	0.3252	0.0478	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	-0.1272	-0.0073	0.0226	0.0416	0.2233	0.0436	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	-1.1440	-0.0096	0.0179	0.0409	0.2033	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	-0.2189	-0.0207	0.0125	0.0426	0.2330	0.0152	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	0.2083	-0.0100	0.0371	0.0665	0.2752	0.1934	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	0.0801	0.0023	0.0327	0.0936	0.3301	0.1578	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	0.0010	-0.0019	0.0903	0.1774	0.3444	0.3282	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	-1.1605	-0.0009	0.1708	0.3420	0.3526	0.4615	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	-0.3092	0.0016	0.1003	0.4371	0.3315	0.2078	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	-0.1991	-0.0012	0.1546	0.5380	0.3305	0.3007	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.867	-0.2736	0.0009	0.0691	0.5302	0.3301	0.0586	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.933	-2.3425	0.0082	0.1266	0.4348	0.3369	0.2566	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.000	-2.7048	-0.0015	0.1341	0.3108	0.3369	0.3270	0.0000	0.0000	0.0000	0.0000	0.0000	4
2.067	-2.9509	0.0078	0.0652	0.2524	0.3402	0.1828	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.133	-1.6522	0.0019	0.1060	0.1640	0.3281	0.3701	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.200	-0.0270	-0.0024	0.0488	0.1324	0.3236	0.1458	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.267	-1.6158	-0.0148	0.0726	0.1089	0.3435	0.2245	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.333	-1.4071	-0.0022	0.0787	0.1069	0.4043	0.1010	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.400	-0.2166	-0.0017	0.0802	0.1163	0.4268	0.0659	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.467	0.4269	-0.3214	0.1714	0.2072	0.4691	0.3373	0.0000	0.0000	0.0000	0.0000	0.0000	1
2.533	0.2674	1.0308	0.1950	0.2218	0.4858	0.0966	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.600	-0.3554	0.2790	0.1932	0.1798	0.4459	0.2191	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.667	0.5316	-2.2142	0.1386	0.1135	0.5261	0.2681	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.733	0.7854	-1.4748	0.0871	0.0980	0.5666	0.0765	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.800	2.6963	-2.1134	0.0884	0.0669	0.5247	0.1120	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.867	0.3511	0.9565	0.0515	0.0609	0.5105	0.0419	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.933	1.2351	2.6427	0.0478	0.0291	0.5961	0.1520	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.000	3.6575	-4.1888	0.0267	0.0201	0.3903	0.0816	0.0000	0.0000	0.0000	0.0000	0.0000	2
3.067	-1.8755	-1.4939	0.0188	0.0272	0.4282	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.133	-3.6575	3.1627	0.0317	0.0455	0.5290	0.0235	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.200	3.6575	-4.1888	0.0377	0.0487	0.5244	0.0252	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.267	-2.1742	0.0458	0.0388	0.0273	0.5436	0.0194	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.333	-3.6575	3.5495	0.0209	0.0182	0.4733	0.0368	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.400	3.1952	1.1178	0.0170	0.0299	0.5018	0.0642	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.467	-3.6575	2.6487	0.0594	0.0746	0.5884	0.2679	0.0000	0.0000	0.0000	0.0000	0.0000	1
3.533	-0.1514	1.6202	0.0720	0.0788	0.6242	0.0373	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.600	-0.7424	0.4944	0.0866	0.0834	0.6567	0.1137	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.667	0.6525	1.1712	0.0881	0.0748	0.6946	0.0613	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.733	0.6139	0.8413	0.0756	0.0737	0.6877	0.0429	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.800	2.1743	2.1135	0.0887	0.0672	0.6429	0.0282	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.867	-0.8839	-1.1399	0.0729	0.0608	0.6173	0.0625	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.933	1.8863	4.1888	0.0662	0.0530	0.5641	0.0966	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.000	-1.1739	1.5897	0.0497	0.0498	0.5432	0.0319	0.0000	0.0000	0.0000	0.0000	0.0000	8
4.067	1.9033	3.3877	0.0519	0.0481	0.5721	0.0350	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.133	0.4670	-0.0094	0.0541	0.0609	0.6155	0.1142	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.200	-2.7200	2.4072	0.0849	0.0755	0.6736	0.0752	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.267	-2.3582	-1.4304	0.0860	0.0747	0.6947	0.0439	0.0000	0.0000	0.0000	0.0000	0.0000	0
