t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.0476	0.6027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	0.1663	-0.0019	0.0339	0.0524	0.6112	0.0664	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	0.9944	-0.0050	0.0526	0.0688	0.6545	0.1630	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	0.8732	-0.0013	0.0607	0.0775	0.6359	0.0434	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	2.9235	-0.7955	0.0790	0.0793	0.5631	0.1069	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	1.7508	-0.8594	0.0758	0.0584	0.5198	0.1537	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-2.6366	-0.5111	0.0596	0.0565	0.4598	0.0821	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	2.9299	-1.5818	0.0536	0.0545	0.4867	0.0338	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.9568	0.6551	0.0399	0.0509	0.4674	0.0446	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	3.6575	4.1888	0.0304	0.0440	0.2899	0.0939	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	3.6575	-4.1888	0.0205	0.0475	0.2125	0.0132	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	2.7831	1.7536	0.0229	0.0580	0.2165	0.0213	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	3.6575	-0.0547	0.0813	0.1278	0.2310	0.3833	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	2.6505	-0.0020	0.0964	0.2171	0.2693	0.3500	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	3.6575	-0.0061	0.2277	0.4242	0.3202	0.7978	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	0.0003	4.1888	0.1685	0.4153	0.3242	0.3380	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.1052	-0.0011	0.1357	0.2905	0.3409	0.4260	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.3097	0.0021	0.2298	0.0673	0.2782	1.0115	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-0.0136	-0.0017	0.0469	0.0388	0.2084	0.2147	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	0.2431	-0.0040	0.0248	0.0391	0.2155	0.0083	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	0.5896	0.3929	0.0232	0.0404	0.3026	0.0174	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	0.3853	-0.0090	0.0225	0.0386	0.3356	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	0.9696	1.1520	0.0369	0.0427	0.5134	0.0936	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	0.4594	-0.0277	0.0303	0.0386	0.5412	0.0267	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	1.0950	-0.6728	0.0275	0.0283	0.5274	0.0346	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	-3.6575	0.2036	0.0341	0.0515	0.5542	0.1975	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	3.6575	-4.1888	0.0347	0.0557	0.5578	0.0380	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	3.6575	2.1191	0.0474	0.0610	0.6135	0.0488	0.0000	0.0000	0.0000	0.0000	0.0000	0
