t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.0824	0.6743	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	0.1470	0.7843	0.1083	0.1090	0.7942	0.1213	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	-0.0132	0.5896	0.1052	0.0661	0.7311	0.1127	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	0.0608	0.9651	0.0613	0.0239	0.5817	0.2118	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-2.2978	1.0181	0.3481	0.3717	0.9195	1.7017	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	0.7353	0.5596	0.3463	0.0258	0.7840	1.7169	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	0.3762	0.9581	0.0871	0.0970	0.9269	0.5370	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	0.0879	0.5572	0.3281	0.4195	0.7156	1.9583	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	0.2768	1.1224	0.1458	0.4430	0.8530	0.6373	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.4015	1.0091	0.3665	0.0779	0.7591	1.7488	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	0.3717	0.5724	0.0536	0.0465	0.9777	0.1181	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	1.0290	0.8424	0.1205	0.1524	0.7421	0.6150	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	0.2548	0.5986	0.0855	0.0775	0.9865	0.2306	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	0.1143	1.0065	0.0466	0.0839	0.9879	0.1390	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	3.6575	0.8535	0.0825	0.0157	0.8979	0.6039	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-3.2785	0.5572	0.0120	0.0119	0.8945	0.0363	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	3.6575	1.0234	0.0564	0.0639	0.6213	0.1500	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	0.7522	0.5699	0.0741	0.0553	0.9846	0.4468	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	0.6311	0.9442	0.0419	0.0213	0.9672	0.3027	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	0.4681	0.8741	0.0338	0.0449	0.9756	0.0625	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	0.4394	0.6457	0.0203	0.0434	0.9689	0.0377	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	0.5988	0.9696	0.0516	0.0428	0.6955	0.2123	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	0.0176	0.6768	0.0360	0.0117	0.8221	0.0559	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	-0.0058	0.9218	0.0132	0.0165	0.9294	0.0181	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	3.6575	1.0561	0.0314	0.0392	0.8090	0.1049	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	1.6795	0.6164	0.0372	0.0538	0.7540	0.1650	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	0.4647	0.9539	0.0407	0.0194	0.9761	0.2069	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	0.4842	0.6104	0.0328	0.0457	0.9437	0.0949	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.867	0.0414	0.9676	0.0303	0.0297	0.9570	0.0914	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.933	0.3972	0.9687	0.0346	0.0482	0.9686	0.2103	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.000	0.3838	0.6273	0.0979	0.1398	0.7687	0.2152	0.0000	0.0000	0.0000	0.0000	0.0000	4
2.067	0.9635	0.9628	0.0809	0.0816	0.9083	0.2429	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.133	0.2332	0.6003	0.0427	0.0916	0.8843	0.1071	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.200	1.3883	0.9757	0.0645	0.0817	0.9375	0.1115	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.267	1.4197	0.9928	0.0664	0.0939	0.9267	0.1002	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.333	0.9862	0.6179	0.0715	0.1138	0.9268	0.2904	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.400	1.5231	0.9421	0.2448	0.3481	0.5144	0.9115	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.467	-2.0750	0.6485	0.2419	0.5346	0.7408	0.8635	0.0000	0.0000	0.0000	0.0000	0.0000	1
2.533	0.8224	0.9412	0.3769	0.1822	0.6288	1.1745	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.600	0.8369	1.2475	0.1981	0.3313	0.7649	0.6730	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.667	0.2143	0.5783	0.1108	0.3110	0.7891	0.2152	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.733	-0.0515	0.9752	0.1041	0.3314	0.8505	0.7429	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.800	-3.6575	0.5563	0.2473	0.0945	0.9089	0.7086	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.867	-1.4653	0.8541	0.0838	0.0132	0.7881	0.8782	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.933	3.6575	1.1495	0.1200	0.1318	0.8380	0.3385	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.000	-3.6575	0.5207	0.1196	0.0904	0.9088	0.5353	0.0000	0.0000	0.0000	0.0000	0.0000	2
3.067	-0.4928	0.8698	0.1406	0.2152	0.9512	1.3809	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.133	1.6405	0.5576	0.0931	0.1917	0.9396	0.2306	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.200	-3.6575	1.0152	0.0899	0.2450	0.9541	0.2755	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.267	2.5724	0.9518	0.2295	0.0187	0.9042	1.3159	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.333	0.4911	0.6004	0.0300	0.0397	0.8767	0.1382	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.400	0.8291	0.9771	0.0345	0.0320	0.8936	0.1100	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.467	0.4738	0.6022	0.0483	0.0637	0.9357	0.0870	0.0000	0.0000	0.0000	0.0000	0.0000	1
3.533	1.2741	1.0186	0.1709	0.2018	0.9445	1.0627	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.600	-3.6575	1.0181	0.1103	0.2289	0.9719	0.2642	0.0000	0.0000	0.0000	0.0000	0.0000	0
