t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.7863	0.0654	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	-0.0518	-0.0009	0.0338	0.7870	0.0635	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	-0.0322	-0.0011	0.0222	0.7876	0.0629	0.0088	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	-0.0459	-0.0009	0.0293	0.7883	0.0627	0.0118	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-0.0549	-0.0019	0.0352	0.7887	0.0615	0.0074	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	-0.0352	0.0001	0.0241	0.7896	0.0595	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.0479	-0.0012	0.0318	0.7906	0.0589	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-0.0623	-0.0006	0.0375	0.7917	0.0596	0.0164	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.0379	-0.0035	0.0257	0.7932	0.0579	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.0487	-0.0047	0.0334	0.7949	0.0564	0.0169	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.0608	-0.0052	0.0407	0.7964	0.0560	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.0321	-0.0047	0.0252	0.7958	0.0563	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.0445	-0.0064	0.0345	0.7972	0.0547	0.0238	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.0581	-0.0074	0.0428	0.7990	0.0540	0.0243	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.0336	-0.0047	0.0274	0.7990	0.0536	0.0179	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.0496	-0.0064	0.0365	0.8003	0.0524	0.0150	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.0654	-0.0038	0.0456	0.8017	0.0513	0.0118	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.0364	-0.0015	0.0295	0.8023	0.0518	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-0.0465	-0.0021	0.0371	0.8023	0.0513	0.0071	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	-0.0643	0.0034	0.0477	0.8038	0.0509	0.0191	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	-0.0380	0.0006	0.0313	0.8043	0.0499	0.0135	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	-0.0544	0.0008	0.0402	0.8052	0.0487	0.0108	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	-0.0663	0.0003	0.0497	0.8063	0.0480	0.0211	0.0000	0.0000	0.0000	0.0000	0.0000	1
