t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.8725	0.0256	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	-0.0167	0.0224	0.0083	0.8726	0.0253	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	-0.0095	0.0150	0.0057	0.8729	0.0250	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	-0.0120	0.0185	0.0070	0.8734	0.0249	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-0.0148	0.0226	0.0083	0.8741	0.0257	0.0110	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	-0.0071	0.0143	0.0047	0.8740	0.0255	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.0113	0.0214	0.0066	0.8744	0.0248	0.0044	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-0.0137	0.0299	0.0079	0.8749	0.0246	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.0066	0.0169	0.0047	0.8746	0.0248	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.0091	0.0233	0.0065	0.8750	0.0250	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.0124	0.0290	0.0081	0.8754	0.0257	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.0073	0.0171	0.0050	0.8756	0.0256	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.0073	0.0215	0.0060	0.8752	0.0257	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.0081	0.0270	0.0082	0.8755	0.0254	0.0083	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.0046	0.0151	0.0051	0.8757	0.0253	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.0049	0.0201	0.0064	0.8754	0.0259	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.0062	0.0269	0.0082	0.8753	0.0246	0.0066	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.0032	0.0151	0.0052	0.8753	0.0242	0.0037	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-0.0042	0.0209	0.0070	0.8753	0.0249	0.0049	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	-0.0019	0.0246	0.0083	0.8743	0.0252	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	-0.0006	0.0149	0.0061	0.8738	0.0240	0.0064	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	-0.0011	0.0191	0.0069	0.8736	0.0240	0.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	0.0007	0.0227	0.0090	0.8729	0.0241	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	0.0014	0.0127	0.0054	0.8725	0.0233	0.0037	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	0.0030	0.0160	0.0075	0.8719	0.0226	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	0.0055	0.0191	0.0091	0.8713	0.0230	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	0.0063	0.0116	0.0056	0.8704	0.0238	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	0.0075	0.0157	0.0080	0.8694	0.0238	0.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.867	0.0096	0.0184	0.0098	0.8682	0.0237	0.0081	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.933	0.0057	0.0102	0.0060	0.8672	0.0242	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.000	0.0083	0.0134	0.0083	0.8662	0.0235	0.0081	0.0000	0.0000	0.0000	0.0000	0.0000	4
2.067	0.0096	0.0169	0.0107	0.8652	0.0251	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.133	0.0055	0.0087	0.0069	0.8646	0.0256	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.200	0.0091	0.0101	0.0086	0.8635	0.0272	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.267	0.0113	0.0116	0.0115	0.8623	0.0271	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.333	0.0070	0.0065	0.0075	0.8617	0.0275	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.400	0.0114	0.0091	0.0098	0.8605	0.0295	0.0076	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.467	0.0186	0.0108	0.0122	0.8590	0.0292	0.0091	0.0000	0.0000	0.0000	0.0000	0.0000	1
2.533	0.0114	0.0064	0.0081	0.8583	0.0294	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.600	0.0180	0.0082	0.0110	0.8569	0.0303	0.0081	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.667	0.0257	0.0108	0.0128	0.8542	0.0297	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.733	0.0178	0.0056	0.0092	0.8519	0.0294	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.800	0.0216	0.0065	0.0119	0.8489	0.0303	0.0091	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.867	0.0237	0.0071	0.0140	0.8452	0.0310	0.0093	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.933	0.0157	0.0043	0.0096	0.8431	0.0319	0.0110	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.000	0.0216	0.0067	0.0128	0.8408	0.0323	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	2
3.067	0.0264	0.0070	0.0163	0.8378	0.0340	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.133	0.0161	0.0041	0.0101	0.8364	0.0337	0.0076	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.200	0.0216	0.0040	0.0140	0.8332	0.0342	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.267	0.0265	0.0033	0.0178	0.8294	0.0359	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.333	0.0148	0.0001	0.0113	0.8264	0.0371	0.0086	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.400	0.0214	-0.0012	0.0153	0.8228	0.0377	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.467	0.0228	-0.0068	0.0212	0.8173	0.0382	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	1
3.533	0.0153	-0.0036	0.0139	0.8154	0.0390	0.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.600	0.0175	-0.0024	0.0157	0.8115	0.0399	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.667	0.0214	-0.0026	0.0208	0.8063	0.0398	0.0130	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.733	0.0126	-0.0024	0.0134	0.8028	0.0411	0.0098	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.800	0.0191	-0.0044	0.0182	0.7978	0.0422	0.0105	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.867	0.0276	-0.0052	0.0235	0.7912	0.0429	0.0157	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.933	0.0167	-0.0023	0.0152	0.7872	0.0436	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.000	0.0218	-0.0033	0.0204	0.7813	0.0441	0.0174	0.0000	0.0000	0.0000	0.0000	0.0000	8
4.067	0.0264	-0.0041	0.0251	0.7737	0.0461	0.0145	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.133	0.0166	-0.0030	0.0168	0.7687	0.0474	0.0103	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.200	0.0213	-0.0050	0.0218	0.7620	0.0498	0.0135	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.267	0.0272	-0.0047	0.0274	0.7532	0.0552	0.0176	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.333	0.0162	-0.0022	0.0185	0.7480	0.0567	0.0137	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.400	0.0232	-0.0029	0.0248	0.7394	0.0584	0.0218	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.467	0.0286	-0.0048	0.0333	0.7272	0.0613	0.0233	0.0000	0.0000	0.0000	0.0000	0.0000	1
4.533	0.0178	-0.0028	0.0221	0.7190	0.0653	0.0206	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.600	0.0253	-0.0041	0.0311	0.7080	0.0679	0.0243	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.667	0.0259	-0.0058	0.0405	0.6956	0.0722	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.733	0.0159	-0.0047	0.0250	0.6877	0.0760	0.0162	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.800	0.0318	-0.0043	0.0365	0.6749	0.0775	0.0208	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.867	0.0375	-0.0050	0.0435	0.6604	0.0861	0.0257	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.933	0.0205	-0.0016	0.0266	0.6530	0.0881	0.0154	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.000	0.0291	-0.0023	0.0327	0.6480	0.0932	0.0157	0.0000	0.0000	0.0000	0.0000	0.0000	2
5.067	0.0344	-0.0026	0.0381	0.6433	0.0986	0.0252	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.133	0.0178	-0.0017	0.0242	0.6397	0.0997	0.0091	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.200	0.0209	-0.0035	0.0325	0.6356	0.1022	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.267	0.0294	-0.0070	0.0386	0.6306	0.1067	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.333	0.0123	-0.0034	0.0249	0.6299	0.1044	0.0181	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.400	0.0193	-0.0038	0.0313	0.6289	0.1046	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.467	0.0387	-0.0041	0.0388	0.6284	0.1083	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	1
5.533	0.0267	-0.0014	0.0247	0.6269	0.1100	0.0076	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.600	0.0233	-0.0015	0.0334	0.6248	0.1104	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.667	0.0215	-0.0010	0.0393	0.6261	0.1077	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.733	0.0128	0.0007	0.0249	0.6275	0.1093	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.800	0.0232	0.0012	0.0311	0.6282	0.1077	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.867	0.0242	-0.0010	0.0379	0.6349	0.1064	0.0150	0.0000	0.0000	0.0000	0.0000	0.0000	0
5.933	0.0155	-0.0015	0.0249	0.6381	0.1071	0.0167	0.0000	0.0000	0.0000	0.0000	0.0000	0
6.000	0.0223	0.0006	0.0306	0.6395	0.1071	0.0093	0.0000	0.0000	0.0000	0.0000	0.0000	4
6.067	0.0243	0.0042	0.0390	0.6451	0.1038	0.0172	0.0000	0.0000	0.0000	0.0000	0.0000	0
6.133	0.0109	0.0038	0.0239	0.6487	0.1019	0.0159	0.0000	0.0000	0.0000	0.0000	0.0000	0
6.200	0.0185	0.0042	0.0302	0.6498	0.1028	0.0115	0.0000	0.0000	0.0000	0.0000	0.0000	0
6.267	0.0299	0.0036	0.0371	0.6519	0.1027	0.0118	0.0000	0.0000	0.0000	0.0000	0.0000	0
6.333	0.0189	0.0029	0.0239	0.6539	0.1021	0.0140	0.0000	0.0000	0.0000	0.0000	0.0000	0
