t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.4841	0.0000	0.0000	0.0000	8.2445	7.4143	4.5813	0.0909	0
0.067	-1.9575	3.8871	0.2362	0.4821	0.0000	0.6115	2.2764	8.9777	7.9273	4.7988	0.1722	0
0.133	-1.9577	-3.9020	0.2360	0.4844	0.0000	0.6115	0.7407	10.6032	8.0525	5.4391	0.2380	0
0.200	-1.9547	-3.8995	0.2361	0.4825	0.0000	0.6125	1.0685	9.4084	8.0020	5.1589	0.2035	0
0.267	1.9523	-3.8909	0.2360	0.4840	0.0000	0.6125	0.3416	9.2200	8.2039	5.0118	0.1667	0
0.333	-1.9521	-3.8820	0.2361	0.4823	0.0000	0.6120	1.0627	7.8294	8.2214	4.6980	0.1380	0
0.400	-0.0000	0.0000	0.0002	0.4823	0.0000	0.0002	1.1591	9.6998	8.1290	5.2424	0.1649	0
0.467	0.0000	-0.0000	0.0002	0.4822	0.0000	0.0000	0.6678	9.0786	7.8830	4.6964	0.1790	0
0.533	-0.0000	-0.0001	0.0002	0.4822	0.0000	0.0012	1.1469	9.4456	7.7003	5.1154	0.1718	0
0.600	-0.0000	-0.0000	0.0001	0.4823	0.0000	0.0002	1.0525	8.9036	8.0227	5.8088	0.1441	0
0.667	0.0001	-0.0001	0.0003	0.4822	0.0000	0.0002	1.0875	8.9547	8.1931	6.5008	0.1675	0
0.733	-0.0000	-0.0000	0.0019	0.4823	0.0000	0.0007	0.9088	9.1478	8.5970	7.3011	0.1624	0
0.800	-0.0001	-0.0001	0.0003	0.4823	0.0000	0.0000	1.2350	8.7773	8.7368	7.4394	0.1540	0
0.867	0.0000	-0.0001	0.0002	0.4823	0.0000	0.0002	0.9125	9.1452	8.7624	7.8506	0.1636	0
0.933	0.0002	-0.0009	0.0031	0.4821	0.0000	0.0088	0.6738	7.9741	8.8821	7.4263	0.1345	0
1.000	-0.0003	-0.0002	0.0113	0.4824	0.0000	0.5453	1.5914	8.4134	9.4442	8.4777	0.1695	0
1.067	0.0002	-0.0001	0.0106	0.4824	0.0000	0.0554	1.1134	8.2287	9.5503	8.6856	0.1740	0
1.133	-0.0001	0.0001	0.0111	0.4832	0.0000	0.0000	0.9241	8.1335	9.9035	8.9117	0.1855	0
1.200	-0.0001	-0.0002	0.0112	0.4832	0.0000	0.5213	0.7190	6.3723	9.2070	7.8086	0.1344	0
1.267	0.0000	0.0001	0.0095	0.4829	0.0000	0.1534	1.4674	5.8605	8.8750	9.1741	0.1395	0
1.333	0.0001	-0.0005	0.0145	0.4848	0.0000	0.0206	1.2372	6.6370	8.7963	8.2785	0.1327	0
1.400	-0.0004	-0.0003	0.0152	0.4876	0.0000	0.2355	0.9506	4.6347	8.9938	9.2791	0.1441	0
1.467	0.0002	0.0005	0.0096	0.4851	0.0000	0.1118	0.9002	4.4067	9.1001	8.9325	0.1438	0
