t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.4649	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	-0.9747	0.1203	0.1195	0.4284	0.0000	0.1299	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	0.5505	0.0553	0.1154	0.4048	0.0000	0.0939	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	2.6170	-1.1023	0.1118	0.4019	0.0000	0.1279	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	3.6575	4.1888	0.0874	0.4262	0.0000	0.1777	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	-0.3996	0.3457	0.0670	0.3750	0.0000	0.3934	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.1121	0.1237	0.0888	0.2874	0.0000	0.2569	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-0.0704	0.0141	0.0184	0.3023	0.0000	0.1466	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.0184	0.0133	0.0157	0.2904	0.0000	0.0890	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.0499	0.0107	0.0193	0.2935	0.0000	0.0907	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.0740	0.0137	0.0215	0.3008	0.0000	0.0684	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.0367	0.0080	0.0109	0.3048	0.0000	0.0081	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.0348	0.0185	0.0311	0.2760	0.0000	0.1784	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.1544	0.0309	0.0301	0.3005	0.0000	0.1909	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.1244	0.0464	0.0135	0.2943	0.0000	0.0980	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.1294	0.0867	0.0217	0.2881	0.0000	0.0353	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.0600	-0.0196	0.0375	0.3207	0.0000	0.1576	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.0095	-0.0170	0.0045	0.3196	0.0000	0.0086	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-0.0417	-0.0222	0.0354	0.3527	0.0000	0.0760	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	-0.0263	-0.0340	0.0388	0.3887	0.0000	0.1228	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	-0.0166	-0.0153	0.0177	0.3912	0.0000	0.0115	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	-0.0148	-0.0509	0.0335	0.3855	0.0000	0.0186	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	-0.0579	-0.0572	0.0329	0.3983	0.0000	0.0868	0.0000	0.0000	0.0000	0.0000	0.0000	1
