t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.3314	0.9927	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	-0.0681	0.0242	0.0366	0.3181	0.9951	0.1526	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	0.0770	0.1368	0.0258	0.3223	0.9927	0.2220	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	-0.5293	0.4823	0.0162	0.3292	0.9923	0.0664	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-0.5213	0.4704	0.0191	0.3378	0.9927	0.0704	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	-0.4332	0.4009	0.0193	0.3466	0.9933	0.0738	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.4571	0.4101	0.0198	0.3567	0.9955	0.0716	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-0.4300	0.3869	0.0173	0.3661	0.9956	0.0590	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.4786	0.3814	0.0149	0.3734	0.9961	0.0575	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.5519	0.3886	0.0137	0.3801	0.9964	0.0477	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.5475	0.3862	0.0114	0.3846	0.9970	0.0383	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.5702	0.3495	0.0106	0.3892	0.9971	0.0296	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.6303	0.3477	0.0096	0.3935	0.9971	0.0311	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.6349	0.3041	0.0089	0.3972	0.9973	0.0311	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.6069	0.2704	0.0091	0.4001	0.9970	0.0291	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.6017	0.2046	0.0098	0.4025	0.9969	0.0291	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.6095	0.1710	0.0098	0.4048	0.9967	0.0249	0.0000	0.0000	0.0000	0.0000	0.0000	0
