t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.5479	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	0.0001	-0.0001	0.0003	0.5479	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	1.0179	0.0195	0.0434	0.5362	0.0000	0.0380	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	0.4633	-0.0101	0.0417	0.5240	0.0000	0.0321	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	0.1386	0.0160	0.0262	0.5158	0.0000	0.0154	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	0.2862	0.0247	0.0460	0.5021	0.0000	0.0311	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	0.0866	0.0153	0.0245	0.4949	0.0000	0.0203	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	0.1830	0.0256	0.0382	0.4853	0.0000	0.0363	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	0.0788	0.0210	0.0324	0.4769	0.0000	0.0284	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	0.0138	-0.0083	0.0170	0.4740	0.0000	0.0061	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.0066	0.0093	0.0313	0.4692	0.0000	0.0152	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.0154	0.0002	0.0174	0.4671	0.0000	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.0484	0.0033	0.0336	0.4625	0.0000	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.0449	0.0106	0.0319	0.4574	0.0000	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.0078	0.0046	0.0157	0.4554	0.0000	0.0064	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.0349	0.0042	0.0286	0.4499	0.0000	0.0179	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.0132	0.0027	0.0192	0.4470	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.0583	-0.0018	0.0404	0.4414	0.0000	0.0257	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-0.0565	0.0022	0.0465	0.4262	0.0000	0.0414	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	-0.0202	0.0031	0.0281	0.4156	0.0000	0.0248	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	-0.0658	0.0080	0.0579	0.3926	0.0000	0.0547	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	-0.0480	0.0075	0.0316	0.3820	0.0000	0.0201	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	-0.1314	0.0048	0.0588	0.3663	0.0000	0.0426	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	-0.1567	0.0056	0.0620	0.3497	0.0000	0.0392	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	-0.0612	0.0030	0.0328	0.3419	0.0000	0.0225	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	-0.1858	0.0001	0.0597	0.3301	0.0000	0.0346	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	-0.0866	-0.0004	0.0326	0.3248	0.0000	0.0169	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	-0.2513	0.0039	0.0574	0.3171	0.0000	0.0225	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.867	-0.3046	-0.0015	0.0575	0.3114	0.0000	0.0159	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.933	-0.1339	0.0003	0.0302	0.3086	0.0000	0.0081	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.000	-0.3223	0.0042	0.0538	0.3030	0.0000	0.0152	0.0000	0.0000	0.0000	0.0000	0.0000	4
2.067	-0.1286	0.0004	0.0300	0.2994	0.0000	0.0150	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.133	-0.3376	0.0015	0.0550	0.2917	0.0000	0.0218	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.200	-0.3823	0.0041	0.0577	0.2841	0.0000	0.0245	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.267	-0.1495	0.0010	0.0306	0.2811	0.0000	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.333	-0.3765	-0.0011	0.0537	0.2768	0.0000	0.0132	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.400	-0.1606	0.0012	0.0294	0.2740	0.0000	0.0056	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.467	-0.3622	0.0023	0.0523	0.2699	0.0000	0.0176	0.0000	0.0000	0.0000	0.0000	0.0000	1
2.533	-0.3616	0.0004	0.0515	0.2665	0.0000	0.0142	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.600	-0.1396	0.0003	0.0274	0.2651	0.0000	0.0115	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.667	-0.3515	0.0005	0.0508	0.2630	0.0000	0.0125	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.733	-0.1366	0.0003	0.0275	0.2625	0.0000	0.0076	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.800	-0.3498	0.0015	0.0512	0.2611	0.0000	0.0071	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.867	-0.3461	0.0008	0.0534	0.2577	0.0000	0.0113	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.933	-0.1348	-0.0001	0.0293	0.2559	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.000	-0.3362	0.0015	0.0554	0.2518	0.0000	0.0145	0.0000	0.0000	0.0000	0.0000	0.0000	2
3.067	-0.1295	-0.0003	0.0308	0.2493	0.0000	0.0074	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.133	-0.3305	-0.0003	0.0581	0.2454	0.0000	0.0169	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.200	-0.3258	0.0018	0.0587	0.2422	0.0000	0.0169	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.267	-0.1256	-0.0009	0.0322	0.2397	0.0000	0.0132	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.333	-0.2975	0.0010	0.0588	0.2350	0.0000	0.0225	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.400	-0.1186	-0.0012	0.0309	0.2347	0.0000	0.0069	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.467	-0.3026	0.0001	0.0596	0.2330	0.0000	0.0120	0.0000	0.0000	0.0000	0.0000	0.0000	1
3.533	-0.2768	0.0019	0.0597	0.2311	0.0000	0.0083	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.600	-0.1121	-0.0029	0.0327	0.2304	0.0000	0.0088	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.667	-0.2476	0.0034	0.0604	0.2280	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.733	-0.1111	-0.0011	0.0328	0.2269	0.0000	0.0123	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.800	-0.2545	0.0022	0.0608	0.2246	0.0000	0.0150	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.867	-0.0978	-0.0011	0.0319	0.2242	0.0000	0.0066	0.0000	0.0000	0.0000	0.0000	0.0000	0
3.933	-0.2396	0.0012	0.0605	0.2233	0.0000	0.0127	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.000	-0.2412	-0.0006	0.0593	0.2228	0.0000	0.0108	0.0000	0.0000	0.0000	0.0000	0.0000	8
4.067	-0.0911	-0.0004	0.0314	0.2222	0.0000	0.0074	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.133	-0.2219	0.0001	0.0579	0.2212	0.0000	0.0108	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.200	-0.0932	0.0009	0.0306	0.2211	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.267	-0.2131	0.0021	0.0574	0.2211	0.0000	0.0145	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.333	-0.2019	0.0031	0.0566	0.2205	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.400	-0.0882	-0.0015	0.0308	0.2193	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.467	-0.2071	0.0024	0.0578	0.2174	0.0000	0.0091	0.0000	0.0000	0.0000	0.0000	0.0000	1
4.533	-0.0810	0.0015	0.0301	0.2172	0.0000	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.600	-0.1916	0.0001	0.0573	0.2166	0.0000	0.0088	0.0000	0.0000	0.0000	0.0000	0.0000	0
4.667	-0.1816	0.0005	0.0566	0.2166	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0
