t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.1836	0.4451	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	-0.0764	-0.0554	0.0356	0.1909	0.4376	0.0373	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	-0.0609	-0.0245	0.0252	0.1946	0.4371	0.0316	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	-0.0702	-0.0383	0.0320	0.1998	0.4328	0.0390	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-0.0760	-0.0440	0.0342	0.2057	0.4319	0.0398	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	-0.0556	-0.0212	0.0259	0.2103	0.4318	0.0286	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.0811	-0.0294	0.0358	0.2177	0.4280	0.0417	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-0.0947	-0.0309	0.0438	0.2271	0.4304	0.0464	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.0617	-0.0057	0.0329	0.2341	0.4238	0.0407	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.0729	-0.0089	0.0441	0.2440	0.4195	0.0528	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.0809	-0.0028	0.0545	0.2565	0.4147	0.0699	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.0546	-0.0188	0.0352	0.2627	0.4198	0.0380	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.0749	-0.0278	0.0522	0.2705	0.4170	0.0560	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.0817	-0.0463	0.0654	0.2763	0.4191	0.0578	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.0661	-0.0307	0.0514	0.2736	0.4313	0.0346	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.0783	-0.0414	0.0663	0.2706	0.4368	0.0380	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.0937	-0.0501	0.0821	0.2644	0.4424	0.0454	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.0885	-0.0393	0.0686	0.2591	0.4473	0.0321	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	-0.0857	-0.0544	0.0878	0.2504	0.4512	0.0531	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	-0.0562	-0.0500	0.0996	0.2547	0.4462	0.0565	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	-0.0369	-0.0144	0.0607	0.2616	0.4421	0.0365	0.0000	0.0000	0.0000	0.0000	0.0000	0
