t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.1942	0.8025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	-0.0429	0.0150	0.0062	0.1927	0.8065	0.0306	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	-0.0524	0.0141	0.0083	0.1899	0.8129	0.0304	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	-0.0914	0.0224	0.0144	0.1847	0.8267	0.0477	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	-0.1013	0.0142	0.0104	0.1824	0.8330	0.0373	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	-0.0640	0.0168	0.0058	0.1810	0.8377	0.0279	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	-0.1168	0.0138	0.0103	0.1774	0.8489	0.0491	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	-0.1089	0.0015	0.0108	0.1746	0.8572	0.0254	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	-0.0502	-0.0078	0.0061	0.1725	0.8614	0.0225	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	-0.0791	-0.0268	0.0124	0.1674	0.8645	0.0368	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	-0.0745	-0.0187	0.0130	0.1623	0.8667	0.0388	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	-0.0340	-0.0062	0.0075	0.1587	0.8688	0.0346	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	-0.0720	-0.0058	0.0124	0.1525	0.8753	0.0467	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	-0.0777	-0.0017	0.0144	0.1446	0.8814	0.0620	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	-0.0479	0.0069	0.0084	0.1395	0.8872	0.0368	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	-0.0659	0.0156	0.0112	0.1335	0.8932	0.0464	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	-0.0334	0.0319	0.0108	0.1273	0.9010	0.0514	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	-0.0001	0.0236	0.0067	0.1227	0.9076	0.0551	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	0.0110	0.0133	0.0094	0.1178	0.9136	0.0612	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	0.0107	-0.0194	0.0085	0.1131	0.9233	0.0504	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	0.0061	-0.0157	0.0049	0.1100	0.9316	0.0281	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	0.0023	-0.0159	0.0103	0.1045	0.9453	0.0590	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	-0.0453	0.0188	0.0069	0.1026	0.9463	0.0326	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	-0.0469	0.0274	0.0036	0.1017	0.9483	0.0119	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	-0.0952	0.0801	0.0051	0.1006	0.9518	0.0131	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	-0.1158	0.1310	0.0048	0.0994	0.9574	0.0151	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	-0.0835	0.1077	0.0028	0.0985	0.9597	0.0094	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	-0.1797	0.1937	0.0080	0.0942	0.9691	0.0356	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.867	-0.2272	0.2081	0.0060	0.0919	0.9762	0.0210	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.933	-0.1195	0.1418	0.0020	0.0917	0.9785	0.0089	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.000	-0.1854	0.2008	0.0047	0.0903	0.9827	0.0175	0.0000	0.0000	0.0000	0.0000	0.0000	4
2.067	-0.1381	0.1378	0.0040	0.0899	0.9840	0.0170	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.133	-0.0615	0.0811	0.0043	0.0876	0.9861	0.0343	0.0000	0.0000	0.0000	0.0000	0.0000	0
