t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.4073	0.5802	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16
0.067	0.0028	-0.0014	0.0081	0.4077	0.5777	0.0289	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.133	0.0027	-0.0016	0.0083	0.4059	0.5788	0.0287	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.200	0.0026	-0.0018	0.0081	0.4062	0.5773	0.0321	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.267	0.0019	-0.0012	0.0082	0.4044	0.5790	0.0316	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.333	0.0014	-0.0015	0.0079	0.4051	0.5771	0.0377	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.400	0.0019	-0.0015	0.0081	0.4035	0.5784	0.0353	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.467	0.0015	-0.0012	0.0079	0.4041	0.5768	0.0363	0.0000	0.0000	0.0000	0.0000	0.0000	1
0.533	0.0018	-0.0013	0.0081	0.4024	0.5784	0.0328	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.600	0.0027	-0.0015	0.0079	0.4030	0.5770	0.0343	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.667	0.0024	-0.0016	0.0082	0.4012	0.5792	0.0294	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.733	0.0022	-0.0010	0.0082	0.4015	0.5785	0.0380	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.800	0.0015	-0.0014	0.0080	0.3999	0.5810	0.0257	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.867	0.0024	-0.0015	0.0079	0.4006	0.5806	0.0309	0.0000	0.0000	0.0000	0.0000	0.0000	0
0.933	0.0028	-0.0012	0.0081	0.3989	0.5832	0.0343	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.000	0.0019	-0.0018	0.0080	0.3997	0.5823	0.0304	0.0000	0.0000	0.0000	0.0000	0.0000	2
1.067	0.0021	-0.0019	0.0079	0.3982	0.5849	0.0201	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.133	0.0017	-0.0014	0.0080	0.3989	0.5840	0.0284	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.200	0.0019	-0.0012	0.0079	0.3973	0.5863	0.0243	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.267	0.0020	-0.0011	0.0080	0.3978	0.5851	0.0338	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.333	0.0018	-0.0016	0.0080	0.3962	0.5878	0.0284	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.400	0.0020	-0.0012	0.0080	0.3968	0.5868	0.0270	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.467	0.0011	-0.0011	0.0078	0.3954	0.5890	0.0284	0.0000	0.0000	0.0000	0.0000	0.0000	1
1.533	0.0014	-0.0002	0.0081	0.3961	0.5885	0.0304	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.600	0.0015	-0.0013	0.0077	0.3947	0.5911	0.0230	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.667	0.0003	-0.0011	0.0081	0.3954	0.5904	0.0294	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.733	0.0014	-0.0008	0.0078	0.3940	0.5927	0.0181	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.800	0.0002	-0.0010	0.0083	0.3946	0.5922	0.0267	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.867	-0.0003	-0.0006	0.0076	0.3933	0.5945	0.0309	0.0000	0.0000	0.0000	0.0000	0.0000	0
1.933	0.0005	-0.0014	0.0081	0.3939	0.5939	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0
2.000	0.0007	-0.0010	0.0078	0.3927	0.5958	0.0181	0.0000	0.0000	0.0000	0.0000	0.0000	4
