t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.2253	0.4945	0.0000	0.0000	3.3134	3.6499	0.5938	0.0503	0
0.067	0.0418	-0.0482	0.0078	0.2260	0.4913	0.0115	14.8674	7.1714	7.5858	4.0495	0.0739	16
0.133	0.0261	-0.0225	0.0041	0.2260	0.4934	0.0110	0.4142	6.2055	6.3259	3.8833	0.0713	0
0.200	0.0472	-0.0468	0.0079	0.2263	0.4941	0.0127	5.2922	10.7469	9.1851	4.2146	0.2266	0
0.267	0.0408	-0.0487	0.0078	0.2265	0.4957	0.0137	0.6173	10.7201	7.0214	2.4359	0.2459	0
0.333	-2.9708	1.8123	0.2289	0.3547	0.5149	0.4407	0.5938	10.5410	5.9038	1.5119	0.2142	0
0.400	3.6575	-4.1888	0.1656	0.3629	0.5260	0.1919	4.1874	9.7367	7.8034	6.5866	0.1586	1
0.467	0.0515	-0.0436	0.0073	0.3635	0.5265	0.0145	0.6877	8.4083	7.5664	4.7106	0.0943	0
0.533	-0.6270	0.6898	0.2117	0.3131	0.4786	0.3983	0.2544	8.5051	7.5351	5.0703	0.1051	0
0.600	0.0889	-0.2537	0.0475	0.3153	0.4657	0.0446	6.9427	8.7015	7.9526	6.9013	0.1152	0
0.667	3.6575	1.3611	0.2665	0.2762	0.4922	0.4096	0.2951	8.7896	7.5438	3.7152	0.1038	0
0.733	0.0812	-0.2986	0.0457	0.2803	0.4990	0.0260	1.8069	10.4409	9.4700	5.0188	0.2171	2
0.800	-2.7442	-4.1888	0.2257	0.2689	0.4796	0.3189	3.1060	10.6485	7.5701	5.2199	0.2366	0
0.867	0.1555	0.3257	0.1033	0.2718	0.4894	0.0723	0.8728	10.5888	7.1396	3.6920	0.2182	0
0.933	3.6575	-4.1888	0.2300	0.2310	0.5018	0.1708	10.5084	9.4322	9.3893	8.3156	0.1869	0
1.000	-3.6575	-4.1888	0.1338	0.1986	0.5143	0.1877	0.3287	9.2215	7.7964	6.6077	0.1367	0
1.067	0.0059	-0.0415	0.0060	0.1990	0.5135	0.0100	0.2878	9.1121	7.3173	4.6092	0.1159	0
1.133	-0.9764	-0.6583	0.1387	0.2224	0.4870	0.1627	5.0050	9.4158	7.9130	6.6699	0.1338	1
1.200	-0.0193	0.0949	0.0329	0.2233	0.4846	0.0400	0.2728	9.5570	7.8581	4.0374	0.1406	0
1.267	-3.6575	-1.1260	0.1578	0.2215	0.5060	0.1652	0.4267	10.1752	9.4897	3.7805	0.2039	0
1.333	1.7121	0.9168	0.1088	0.2137	0.5184	0.1025	0.7033	10.8003	6.1565	5.5843	0.2339	0
1.400	0.0156	-0.0438	0.0073	0.2142	0.5188	0.0169	0.4596	10.7771	6.3945	1.5908	0.2321	0
1.467	0.0194	-0.0412	0.0073	0.2143	0.5192	0.0191	1.0976	9.8456	7.8287	6.0294	0.1718	4
1.533	0.0201	-0.0433	0.0075	0.2145	0.5194	0.0152	1.7496	9.7779	7.1975	5.4281	0.1608	0
1.600	-0.2505	1.3933	0.1343	0.2358	0.5220	0.0929	0.3570	9.6081	7.9792	3.0602	0.1693	0
1.667	-0.2837	2.1763	0.1538	0.2163	0.5376	0.1365	9.8243	10.7781	7.7136	6.6146	0.2351	0
1.733	-0.0086	-0.0171	0.0058	0.2168	0.5398	0.0083	0.5976	10.5539	7.4908	3.9895	0.2115	0
1.800	-0.1842	0.8309	0.1280	0.1996	0.5063	0.0995	0.2436	10.2636	8.6499	4.9498	0.2257	1
1.867	0.0444	0.0779	0.0603	0.2024	0.5067	0.0456	11.8963	10.7160	7.5891	6.3714	0.2285	0
1.933	0.1396	-0.3005	0.1023	0.2325	0.5099	0.1287	0.5328	10.4838	7.5607	3.6081	0.2125	0
2.000	3.0211	-0.7937	0.1408	0.2377	0.5111	0.2081	0.2662	10.0652	7.5596	5.9288	0.1829	0
2.067	-0.7170	-0.7608	0.1091	0.2563	0.5141	0.1451	3.3214	8.9360	7.5873	6.5217	0.1375	0
2.133	-0.3479	-1.6004	0.1143	0.2612	0.5131	0.1679	0.3658	9.3666	7.0982	2.4843	0.1114	0
2.200	-0.0082	-0.0786	0.0064	0.2620	0.5110	0.0096	0.6606	7.4479	7.1566	1.5803	0.0866	2
2.267	0.1355	-2.5388	0.1817	0.3608	0.5510	0.3365	0.5137	9.4363	6.4989	0.3355	0.1217	0
2.333	0.4405	-0.3525	0.0468	0.3759	0.5589	0.0458	0.6400	9.2697	7.0744	3.9016	0.1216	0
2.400	-0.0028	-0.0416	0.0047	0.3765	0.5591	0.0118	2.0614	8.9170	8.1998	2.5475	0.1031	0
2.467	-0.0035	-0.0357	0.0048	0.3766	0.5573	0.0115	2.9498	7.5250	8.1627	4.1578	0.0738	0
2.533	-0.0035	-0.0365	0.0046	0.3768	0.5584	0.0103	0.5471	5.8284	7.8677	5.0756	0.0648	1
2.600	2.4113	0.9990	0.1646	0.3184	0.5513	0.2765	1.9028	6.3766	7.5967	4.2693	0.0570	0
2.667	0.3446	0.1584	0.0321	0.3156	0.5555	0.0328	0.1958	4.5717	2.9617	4.5697	0.0326	0
2.733	-0.0034	-0.0351	0.0042	0.3154	0.5565	0.0091	4.7826	0.1648	2.6491	6.1322	0.0383	0
