t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.1163	0.6690	0.0000	0.0000	8.2821	7.8140	1.8679	0.0885	0
0.067	-0.2587	-0.0106	0.0296	0.1127	0.6727	0.0336	1.5074	8.8736	8.4379	2.2058	0.1242	0
0.133	-0.1940	0.0108	0.0300	0.1168	0.6703	0.0654	0.5777	8.7348	8.6269	1.9352	0.1258	0
0.200	-0.2731	-0.0049	0.0331	0.1199	0.6638	0.0275	1.1835	8.8026	8.8910	1.8326	0.1353	0
0.267	-0.1243	-0.0085	0.0228	0.1217	0.6547	0.0392	0.7376	9.0232	8.8425	1.8146	0.1350	0
0.333	-0.2030	-0.0086	0.0270	0.1231	0.6515	0.0243	0.8752	8.9067	8.6539	1.9445	0.1278	0
0.400	-0.2782	0.0123	0.0288	0.1224	0.6497	0.0304	0.9647	8.9311	8.8265	2.1874	0.1336	0
0.467	-0.2617	0.0058	0.0308	0.1261	0.6304	0.0257	0.8363	8.7737	8.8647	2.1687	0.1320	0
0.533	-0.2380	0.0009	0.0268	0.1296	0.6335	0.0260	1.1416	8.6546	8.7621	2.1599	0.1279	0
0.600	-0.3986	-0.0025	0.0301	0.1259	0.6256	0.0395	0.9547	8.6068	8.8530	2.0620	0.1250	0
0.667	-0.2658	-0.0116	0.0302	0.1201	0.6355	0.0434	1.1760	8.5152	8.7417	2.0350	0.1198	0
0.733	-0.3568	0.0124	0.0367	0.1249	0.6283	0.0132	1.1066	8.5931	8.8479	2.1635	0.1227	0
0.800	-0.4464	-0.0087	0.0332	0.1223	0.6196	0.0363	1.2221	8.5690	8.4508	1.9117	0.1115	0
0.867	-0.2042	0.0117	0.0309	0.1203	0.6277	0.0309	1.0422	8.6065	8.7531	2.0664	0.1190	0
0.933	-0.3112	-0.0043	0.0340	0.1241	0.6207	0.0145	0.8532	8.7195	9.1244	2.0591	0.1338	1
1.000	-0.0929	-0.0043	0.0324	0.1252	0.6156	0.0164	1.2254	8.6149	9.1502	2.6734	0.1344	0
1.067	-0.3457	0.0087	0.0359	0.1234	0.6211	0.0186	1.0170	8.4784	8.9808	2.1684	0.1288	0
1.133	-0.6259	-0.0105	0.0392	0.1258	0.6262	0.0245	0.7096	8.4818	9.2267	2.4258	0.1383	0
1.200	0.0785	0.0174	0.0333	0.1257	0.6280	0.0228	0.8415	8.5601	9.3154	1.6999	0.1455	0
1.267	-0.0385	0.0027	0.0344	0.1243	0.6336	0.0157	1.1721	8.4903	9.0393	1.6408	0.1291	0
1.333	0.4211	-0.0068	0.0371	0.1290	0.6298	0.0154	1.1250	8.2560	8.5173	2.1659	0.1149	0
1.400	0.0947	-0.0062	0.0303	0.1267	0.6447	0.0257	1.1924	8.0395	8.8235	1.9730	0.1150	0
1.467	0.5174	0.0041	0.0500	0.1252	0.6305	0.0402	1.0659	7.9981	8.8249	1.9822	0.1068	2
1.533	0.5220	0.0180	0.0432	0.1254	0.6250	0.0159	0.8947	8.0453	8.2144	1.7608	0.0952	0
1.600	0.4736	0.0039	0.0387	0.1261	0.6179	0.0213	0.8341	7.9021	8.1659	1.9199	0.0929	0
1.667	0.5160	-0.0119	0.0406	0.1239	0.6270	0.0096	0.7818	8.0085	8.1713	1.4062	0.0916	0
1.733	0.4832	0.0022	0.0426	0.1266	0.6086	0.0125	0.8647	7.9573	8.5330	2.0080	0.0991	0
1.800	0.2345	-0.0091	0.0274	0.1280	0.6178	0.0127	0.8077	8.0869	8.6506	1.4357	0.1077	0
1.867	0.5891	-0.0027	0.0503	0.1303	0.6297	0.0083	1.3665	8.0272	8.7789	1.6925	0.1092	0
1.933	0.3267	-0.0050	0.0303	0.1276	0.6181	0.0233	1.0660	7.8880	9.0516	1.5154	0.1132	1
2.000	0.5714	0.0065	0.0458	0.1262	0.6229	0.0260	1.1506	7.4844	7.9932	1.4166	0.0863	0
2.067	0.5079	-0.0054	0.0361	0.1253	0.6138	0.0164	0.9291	7.6061	8.7629	1.3981	0.1040	0
2.133	0.5631	0.0248	0.0337	0.1268	0.6189	0.0319	0.9736	8.1397	9.1182	1.3443	0.1275	0
2.200	0.6669	0.0099	0.0371	0.1239	0.6368	0.0221	0.8222	8.7237	9.5560	1.0899	0.1582	0
2.267	0.7621	0.0051	0.0361	0.1200	0.6437	0.0422	1.0279	8.8300	9.4065	1.4469	0.1574	0
2.333	0.6080	-0.0264	0.0320	0.1181	0.6685	0.0260	0.8407	8.7085	9.3373	1.5717	0.1508	0
2.400	0.3925	-0.0043	0.0326	0.1251	0.6795	0.0336	0.7087	8.7707	9.2817	1.0251	0.1490	0
2.467	0.3643	-0.0039	0.0398	0.1339	0.6909	0.0480	1.1737	8.6530	9.4333	1.4257	0.1516	4
2.533	0.4838	-0.0007	0.0474	0.1448	0.7023	0.0505	0.6553	8.1790	9.2896	1.8954	0.1391	0
2.600	0.0863	0.0141	0.0321	0.1529	0.7056	0.0326	1.0406	8.6235	9.4308	1.5256	0.1508	0
2.667	0.5369	-0.0030	0.0591	0.1718	0.7167	0.0777	0.7434	8.5984	9.1796	1.6553	0.1406	0
2.733	0.2253	-0.0033	0.0479	0.1847	0.7125	0.0483	1.0317	8.3057	9.4522	1.4421	0.1394	0
2.800	0.3362	0.0015	0.0471	0.2009	0.7157	0.0525	0.9238	8.0626	9.1654	1.6669	0.1290	0
2.867	0.5238	0.0002	0.0580	0.2268	0.7223	0.0794	0.7538	7.8825	8.8819	1.6655	0.1124	0
2.933	0.4567	-0.0044	0.0558	0.2428	0.7175	0.0559	0.7262	7.8297	8.4472	1.3741	0.0986	1
3.000	0.6033	0.0009	0.0594	0.2608	0.7199	0.0588	0.8970	8.1690	8.6103	1.1885	0.1041	0
3.067	0.5017	-0.0050	0.0589	0.2722	0.7232	0.0512	0.8383	8.3429	9.2472	1.3016	0.1341	0
3.133	0.2720	0.0035	0.0373	0.2742	0.7296	0.0400	1.2072	8.5131	9.7180	0.9849	0.1609	0
3.200	0.7525	-0.0021	0.0801	0.2726	0.7325	0.0640	0.7041	8.5374	9.2527	1.2080	0.1416	0
3.267	0.6247	0.0034	0.0626	0.2726	0.7254	0.0417	0.6653	8.4020	9.3210	1.0136	0.1350	0
3.333	0.6716	-0.0012	0.0642	0.2732	0.7217	0.0326	0.5772	7.8405	8.7323	1.0294	0.1109	0
3.400	0.6724	-0.0011	0.0712	0.2712	0.7224	0.0319	0.8333	8.0994	9.0404	1.0296	0.1203	2
3.467	0.5448	-0.0008	0.0648	0.2720	0.7240	0.0395	0.8816	8.4444	9.1243	1.4605	0.1299	0
3.533	0.6295	0.0011	0.0820	0.2662	0.7216	0.0272	1.1663	8.3014	8.9603	1.4293	0.1188	0
3.600	0.5881	-0.0018	0.0797	0.2612	0.7160	0.0407	0.7760	8.1698	8.9198	1.5025	0.1210	0
3.667	0.5371	0.0027	0.0723	0.2588	0.7201	0.0412	0.8062	8.1548	9.0975	1.3233	0.1281	0
3.733	0.5064	-0.0053	0.0694	0.2577	0.7238	0.0350	0.6490	8.0009	8.8069	1.1851	0.1163	0
3.800	0.5105	0.0001	0.0687	0.2562	0.7246	0.0510	0.8462	7.7977	8.5389	1.3800	0.0998	0
3.867	0.4704	-0.0015	0.0682	0.2523	0.7231	0.0461	0.8633	7.8048	8.4395	1.3680	0.1032	0
3.933	0.4599	-0.0010	0.0722	0.2501	0.7198	0.0755	1.2740	7.8023	9.0971	3.4657	0.1126	1
4.000	0.4891	0.0015	0.0744	0.2491	0.7069	0.0654	0.4661	7.9918	8.4717	1.3774	0.1085	0
4.067	0.4663	-0.0036	0.0708	0.2439	0.7128	0.0431	1.3023	8.6398	9.1653	1.4488	0.1332	0
4.133	0.4223	-0.0019	0.0739	0.2359	0.7126	0.0390	0.8132	8.9337	8.8402	1.5884	0.1380	0
