t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.5347	0.0000	0.0000	0.0000	4.2794	9.1876	2.0611	0.1400	0
0.067	-0.0138	0.1334	0.0610	0.5493	0.0000	0.0650	1.6534	2.9537	10.6554	3.1327	0.2287	0
0.133	-0.0023	0.0199	0.0539	0.5513	0.0000	0.0542	1.1274	2.3060	10.9080	2.6018	0.2527	0
0.200	-0.0444	0.2698	0.0650	0.5356	0.0000	0.0846	1.2951	2.1014	10.8770	2.4096	0.2514	0
0.267	-0.0369	0.0977	0.0606	0.5360	0.0000	0.1412	0.8631	2.0294	10.4090	4.1104	0.2132	0
0.333	-0.0290	0.0805	0.0566	0.5311	0.0000	0.0630	1.5488	1.7954	10.4186	3.3760	0.1975	0
0.400	-0.0350	0.2617	0.0576	0.5330	0.0000	0.0792	2.1230	1.9442	9.8003	4.0729	0.1724	0
0.467	-0.0138	0.0635	0.0573	0.5279	0.0000	0.0863	1.2141	2.1447	10.2855	3.5001	0.1886	0
0.533	-0.0307	0.1005	0.0494	0.5355	0.0000	0.0684	0.7903	2.2769	9.5956	3.0216	0.1655	0
0.600	-0.0192	0.0712	0.0581	0.5324	0.0000	0.0630	6.4494	6.6022	9.1444	4.2111	0.1383	4
0.667	-0.0452	0.1284	0.0563	0.5321	0.0000	0.0610	0.4485	7.8430	9.0248	2.9433	0.1126	0
0.733	-0.0194	0.0633	0.0512	0.5339	0.0000	0.0473	0.6830	7.8232	8.0632	2.9762	0.0906	0
0.800	-0.0186	0.1080	0.0587	0.5396	0.0000	0.0762	0.6944	7.4298	8.3702	3.3899	0.0845	0
0.867	-0.0744	0.1280	0.0593	0.5325	0.0000	0.0566	0.5685	7.0581	8.4556	3.1273	0.1116	0
0.933	-0.0295	0.0427	0.0517	0.5373	0.0000	0.0877	1.5570	5.6878	10.2567	3.1692	0.1848	0
1.000	-0.0088	0.0031	0.0608	0.5399	0.0000	0.0716	1.5786	5.2680	10.1499	3.2482	0.1829	0
1.067	-0.0374	0.1544	0.0594	0.5490	0.0000	0.0637	0.4015	4.7897	10.0582	2.9026	0.1636	0
1.133	-0.0174	-0.0293	0.0475	0.5384	0.0000	0.1277	0.9089	4.1571	8.1440	3.0553	0.1115	1
1.200	-0.1118	0.2707	0.0613	0.5366	0.0000	0.0752	1.3487	3.3995	10.7041	3.0030	0.2182	0
1.267	-0.1110	0.2058	0.0593	0.5284	0.0000	0.0414	1.2933	2.0324	10.6963	2.6828	0.2430	0
1.333	-0.0035	0.0563	0.0451	0.5284	0.0000	0.0922	0.3224	2.3995	10.8819	2.3354	0.2572	0
1.400	-0.1193	0.2485	0.0582	0.5114	0.0000	0.0527	0.7837	1.9629	10.8084	2.4632	0.2396	0
1.467	-0.0186	0.0797	0.0487	0.5086	0.0000	0.0186	2.5566	2.1532	10.3167	3.2017	0.1988	0
1.533	-0.0781	0.2017	0.0391	0.5107	0.0000	0.0625	0.9987	1.7476	10.2851	4.3441	0.1884	0
1.600	0.0198	0.1116	0.0482	0.5149	0.0000	0.0272	0.9423	2.0618	10.3047	3.5502	0.1855	0
1.667	-0.0791	0.2863	0.0488	0.5119	0.0000	0.0512	1.2993	1.9169	10.1206	2.9258	0.1721	0
1.733	-0.0063	0.1084	0.0415	0.5207	0.0000	0.0451	3.6583	5.4048	9.9048	5.2162	0.1419	2
1.800	0.0228	0.1494	0.0562	0.5363	0.0000	0.0966	0.5253	7.7523	8.9565	3.3102	0.1146	0
1.867	-0.0696	0.3062	0.0555	0.5364	0.0000	0.0275	1.4306	7.7541	8.7538	3.5462	0.1038	0
1.933	0.0377	0.0405	0.0477	0.5450	0.0000	0.0510	0.5982	7.5653	8.2137	3.4955	0.0917	0
2.000	-0.0279	0.2400	0.0591	0.5584	0.0000	0.0309	1.7367	6.8859	8.4966	3.1545	0.0888	0
2.067	-0.0325	0.2230	0.0635	0.5605	0.0000	0.0483	1.1705	5.9526	10.1578	2.8391	0.1704	0
2.133	-0.0069	0.0802	0.0516	0.5683	0.0000	0.0978	0.9900	5.7171	10.3022	3.7196	0.1969	0
2.200	-0.0453	0.2376	0.0609	0.5750	0.0000	0.0745	0.6654	4.7502	10.3056	2.8525	0.1889	0
2.267	0.0182	0.1379	0.0611	0.5733	0.0000	0.0216	0.4777	4.4729	9.1363	2.2393	0.1247	0
2.333	0.0141	-0.0464	0.0538	0.5668	0.0000	0.0233	0.4247	4.0663	9.1132	2.6450	0.1452	1
