t	zoom	rot	act	bright	sat	cut	onset	low	mid	high	rms	beatRank
0.000	0.0000	0.0000	0.0000	0.2765	0.4045	0.0000	0.0000	8.0048	6.8850	2.8458	0.1495	0
0.067	0.4678	-0.0074	0.1315	0.2792	0.4206	0.1439	4.9454	9.4478	6.0615	0.7055	0.1807	0
0.133	0.1652	0.8220	0.1278	0.2774	0.4512	0.1044	4.9448	9.4506	7.9695	5.6632	0.1439	0
0.200	0.1483	-0.1530	0.1215	0.2824	0.4729	0.1145	1.8882	9.9890	7.1986	3.2175	0.1720	0
0.267	-0.5930	0.8355	0.1300	0.2990	0.4620	0.1409	1.7792	10.1887	7.7085	7.1953	0.1888	0
0.333	-0.2959	1.0835	0.1247	0.3191	0.4398	0.0941	0.6342	10.3682	9.0300	3.5045	0.2239	0
0.400	-0.0529	0.1383	0.1200	0.2707	0.4700	0.2054	3.1471	10.4410	8.6121	5.2568	0.2301	0
0.467	-0.0239	-0.1753	0.1217	0.2833	0.4702	0.0941	0.2843	10.3723	8.5483	5.4655	0.2596	2
0.533	-0.0867	-0.3485	0.1356	0.3234	0.4343	0.2157	8.6839	10.8808	8.4845	4.3060	0.2727	0
0.600	0.1675	0.4603	0.1445	0.3162	0.4172	0.2365	0.4245	9.5214	6.3123	3.0679	0.1417	0
0.667	-0.2957	-0.3085	0.1179	0.3274	0.3885	0.1529	1.0978	10.2701	6.7028	1.6722	0.1986	0
0.733	-0.0364	-2.9630	0.1428	0.3367	0.3455	0.2186	2.0545	10.6326	8.9285	7.1165	0.2438	0
0.800	0.2298	-0.1156	0.1190	0.3194	0.3301	0.1044	8.0313	10.6237	8.3764	6.4257	0.2364	0
0.867	1.3041	-0.1935	0.1173	0.3183	0.3339	0.1037	0.2401	10.5564	6.9005	2.4043	0.2234	0
0.933	0.1139	-0.1239	0.1274	0.3689	0.3345	0.2218	1.8032	10.4737	7.5458	3.4040	0.2277	0
1.000	-0.1626	-0.8182	0.1248	0.3520	0.3367	0.1400	5.9604	11.1701	9.9156	6.9582	0.2950	1
1.067	-1.3951	-0.5778	0.1192	0.3366	0.3349	0.1603	0.0597	9.2086	6.2530	0.3500	0.1712	0
1.133	-0.1498	-0.0902	0.1150	0.3408	0.3552	0.1265	2.6394	9.5124	6.8247	2.2697	0.1450	0
1.200	-0.0139	-0.4976	0.1189	0.3240	0.3568	0.1461	7.8497	10.1593	7.9635	5.4298	0.2005	0
1.267	0.4211	-0.5128	0.1224	0.3185	0.3651	0.1044	8.2842	10.4298	8.2922	6.1325	0.2222	0
1.333	0.4092	-0.4614	0.1134	0.3208	0.3593	0.1453	0.6004	10.4071	8.4187	2.8282	0.2066	0
1.400	-0.9310	-0.4903	0.1098	0.3346	0.3400	0.1127	1.6618	10.2185	9.1266	6.5904	0.2027	0
1.467	-0.4704	-0.9056	0.1220	0.3587	0.3107	0.1672	0.0572	9.9875	8.4271	4.7502	0.2415	4
1.533	0.0713	-0.1221	0.1110	0.3653	0.3078	0.0882	9.8521	10.9869	8.6717	4.9608	0.2818	0
1.600	0.0611	-0.2172	0.1122	0.3505	0.3080	0.1103	0.0229	8.6796	7.5353	5.0988	0.1153	0
1.667	-0.2310	-0.2276	0.1208	0.3478	0.2894	0.0895	0.1841	9.6330	7.5252	1.3536	0.1473	0
1.733	-1.5503	-0.0733	0.1248	0.3629	0.2916	0.1100	2.6139	9.9956	8.5357	6.9711	0.1900	0
1.800	-0.2233	-0.0588	0.1210	0.3555	0.3066	0.1370	1.8118	10.1330	9.4446	6.4091	0.2153	0
1.867	0.6054	-0.0923	0.1176	0.3642	0.3132	0.0809	0.4495	10.2744	8.8309	3.3994	0.2099	0
1.933	0.4201	-0.0471	0.1144	0.3551	0.3319	0.1056	0.2179	10.3287	8.1934	2.9116	0.2092	0
2.000	-0.0098	-0.1786	0.1124	0.3505	0.3316	0.1284	2.1389	11.2314	10.0525	6.5937	0.3006	1
2.067	-0.0805	-0.1261	0.1062	0.3411	0.3349	0.0922	0.0495	9.3524	5.7296	0.5996	0.1711	0
2.133	-0.1598	-2.0556	0.1069	0.3435	0.3164	0.0929	1.8424	9.7558	6.5488	1.2842	0.1502	0
2.200	-0.2068	-0.2045	0.1106	0.3679	0.3011	0.1255	3.1863	10.3971	7.9506	6.4111	0.2161	0
2.267	-0.0996	-0.1451	0.1055	0.3440	0.2963	0.0983	5.4078	10.5868	8.5128	6.2760	0.2419	0
2.333	-0.0012	-0.1278	0.0968	0.3457	0.2934	0.0512	0.3101	10.5741	8.2416	2.5647	0.2279	0
2.400	0.0780	-0.1202	0.1037	0.3582	0.2786	0.1142	1.2404	10.4882	7.4093	5.5492	0.2215	0
2.467	-0.4466	-0.1197	0.1027	0.3452	0.2898	0.1245	2.6370	10.2796	8.9333	4.7894	0.2615	2
2.533	-0.9109	-0.0775	0.1004	0.3423	0.3005	0.0843	9.7609	10.9865	8.7826	4.8756	0.2798	0
2.600	-0.2458	-0.0671	0.0902	0.3405	0.3014	0.0691	0.0163	9.1105	5.8346	4.7365	0.1289	0
2.667	-0.3083	-0.0753	0.0939	0.3272	0.3159	0.1017	3.2832	9.9796	7.7321	2.1790	0.1669	0
2.733	0.0116	-0.0797	0.0920	0.3235	0.3157	0.0605	0.3630	10.1512	7.8464	6.7908	0.1982	0
